iter	RMSE
0	95.10547552
1	94.05190036
2	93.13465391
3	92.14895145
4	91.19346187
5	90.32198291
6	89.45479803
7	88.66456655
8	87.90014171
9	87.16598411
10	86.4898554
11	85.82059682
12	85.19652496
13	84.57923111
14	83.99528145
15	83.44968377
16	82.91085166
17	82.40596398
18	81.92152868
19	81.46468593
20	81.02346559
21	80.6363498
22	80.23730232
23	79.89170003
24	79.52768911
25	79.16959494
26	78.82652915
27	78.50458888
28	78.20564517
29	77.92216844
30	77.65226382
31	77.40706245
32	77.15533499
33	76.91046172
34	76.66936745
35	76.46073655
36	76.25522239
37	76.04270405
38	75.86333546
39	75.70061268
40	75.53444414
41	75.36977657
42	75.20523231
43	75.06817476
44	74.92880442
45	74.79607998
46	74.66093395
47	74.53397207
48	74.42099668
49	74.30408827
50	74.1905498
51	74.08857138
52	73.99162588
53	73.89936019
54	73.81047545
55	73.72254322
56	73.64085116
57	73.56449876
58	73.49297218
59	73.42214102
60	73.34875891
61	73.28191051
62	73.22422495
63	73.16278926
64	73.09891507
65	73.04052193
66	72.98946871
67	72.93732899
68	72.87917541
69	72.82921211
70	72.7752193
71	72.73469706
72	72.68890964
73	72.63959648
74	72.6024746
75	72.56431497
76	72.52402281
77	72.48973522
78	72.44538046
79	72.41943521
80	72.3853186
81	72.35245837
82	72.32273816
83	72.29022524
84	72.26679051
85	72.23440836
86	72.20228474
87	72.17764969
88	72.15755593
89	72.12988871
90	72.10296049
91	72.07505637
92	72.05169033
93	72.02726373
94	72.00956441
95	71.98379818
96	71.96619923
97	71.94609632
98	71.92546828
99	71.90023338
100	71.88105189
101	71.86084619
102	71.83937318
103	71.82350917
104	71.80184125
105	71.78554555
106	71.76895238
107	71.75364484
108	71.73821242
109	71.7192778
110	71.70288077
111	71.69262148
112	71.67378065
113	71.65715248
114	71.64215066
115	71.62380056
116	71.60846666
117	71.5890815
118	71.57686009
119	71.56301006
120	71.55191116
121	71.53299071
122	71.52293962
123	71.51046732
124	71.4930721
125	71.47585516
126	71.46409268
127	71.44674125
128	71.43023571
129	71.41799522
130	71.40307861
131	71.39284773
132	71.38133052
133	71.37021967
134	71.35815721
135	71.3461424
136	71.33805922
137	71.33069106
138	71.31691816
139	71.30317713
140	71.29019367
141	71.27579591
142	71.26652171
143	71.25198355
144	71.24408165
145	71.23276334
146	71.22297032
147	71.21079382
148	71.19837357
149	71.18559787
150	71.16777095
151	71.15646058
152	71.14294613
153	71.1344442
154	71.12305386
155	71.1146889
156	71.10176393
157	71.09767908
158	71.08338035
159	71.07111484
160	71.05753989
161	71.04931255
162	71.04028766
163	71.0303947
164	71.0220936
165	71.01012243
166	70.99671569
167	70.99134578
168	70.97829455
169	70.97260125
170	70.96010207
171	70.94955609
172	70.94084843
173	70.93498804
174	70.92241367
175	70.91150846
176	70.90405467
177	70.89498214
178	70.88907737
179	70.87967147
180	70.87222275
181	70.86568963
182	70.85492148
183	70.84493637
184	70.83727396
185	70.82675264
186	70.81065805
187	70.80473106
188	70.79359872
189	70.78393933
190	70.77341414
191	70.76312126
192	70.75488701
193	70.74860388
194	70.73997925
195	70.73079868
196	70.72147042
197	70.70926713
198	70.70148949
199	70.69550669
200	70.69125286
201	70.68039306
202	70.67037177
203	70.65842341
204	70.65163828
205	70.64108876
206	70.62578766
207	70.62082455
208	70.60456178
209	70.59752778
210	70.59159323
211	70.58195884
212	70.56964868
213	70.5649677
214	70.55516616
215	70.54729517
216	70.53977658
217	70.53646716
218	70.53056052
219	70.5236083
220	70.51966158
221	70.50516695
222	70.49241655
223	70.47974245
224	70.47358384
225	70.46353808
226	70.44741847
227	70.43629356
228	70.43382977
229	70.42568822
230	70.41979071
231	70.41346947
232	70.40295103
233	70.39653677
234	70.39140794
235	70.38463272
236	70.37343136
237	70.36091379
238	70.34617834
239	70.33682765
240	70.33416271
241	70.32398536
242	70.31128
243	70.30536103
244	70.29546146
245	70.28665809
246	70.27517688
247	70.26332357
248	70.25376091
249	70.25046239
250	70.24476126
251	70.23783195
252	70.23131629
253	70.22156736
254	70.2151562
255	70.21243923
256	70.20327272
257	70.18878189
258	70.17892489
259	70.16979032
260	70.15650361
261	70.14649985
262	70.13768235
263	70.12922963
264	70.11929154
265	70.11074868
266	70.10156811
267	70.09286338
268	70.08593381
269	70.08037362
270	70.07369493
271	70.06310803
272	70.05049594
273	70.03790633
274	70.02463876
275	70.01627138
276	70.0102989
277	70.00184189
278	69.99493633
279	69.98713938
280	69.97651772
281	69.96529302
282	69.9557947
283	69.95128458
284	69.94206863
285	69.93397536
286	69.92545121
287	69.92041797
288	69.90937825
289	69.90057088
290	69.89626569
291	69.89231643
292	69.882677
293	69.87114401
294	69.86267738
295	69.85656817
296	69.84760025
297	69.83957869
298	69.83229095
299	69.82345305
300	69.81766778
301	69.81544642
302	69.80234344
303	69.79736632
304	69.79113435
305	69.77733623
306	69.76789681
307	69.75849159
308	69.75097283
309	69.73933689
310	69.7360115
311	69.72309496
312	69.71566268
313	69.70692196
314	69.69890518
315	69.68518588
316	69.67277135
317	69.66515891
318	69.65810971
319	69.64773404
320	69.63936676
321	69.62948102
322	69.62353363
323	69.61199387
324	69.60000858
325	69.59167606
326	69.58659071
327	69.57992898
328	69.56818816
329	69.56267907
330	69.55686358
331	69.55310051
332	69.54535621
333	69.53375845
334	69.52376511
335	69.51308161
336	69.49882759
337	69.4954562
338	69.49131733
339	69.48414436
340	69.47760263
341	69.46747176
342	69.45462936
343	69.44653789
344	69.44574253
345	69.43653377
346	69.42920559
347	69.42113256
348	69.41243686
349	69.40460144
350	69.40058068
351	69.39537947
352	69.3912053
353	69.38036874
354	69.37430172
355	69.37356045
356	69.35533058
357	69.35177415
358	69.34529612
359	69.33101643
360	69.32715681
361	69.31777441
362	69.31080623
363	69.30199554
364	69.29507222
365	69.28893832
366	69.28748152
367	69.28250787
368	69.27507577
369	69.26447747
370	69.25732361
371	69.24618513
372	69.23602706
373	69.23083021
374	69.22499359
375	69.21133942
376	69.2062089
377	69.20112504
378	69.19460708
379	69.18945062
380	69.17692133
381	69.16903718
382	69.16512618
383	69.15304072
384	69.1446701
385	69.12781429
386	69.12162193
387	69.11737206
388	69.10551271
389	69.10060267
390	69.09212587
391	69.07915025
392	69.07261735
393	69.05993095
394	69.05406573
395	69.04675361
396	69.03397162
397	69.02952425
398	69.01497416
399	69.00031898
400	68.98614795
401	68.97219594
402	68.95920668
403	68.95689416
404	68.94593834
405	68.94228377
406	68.9390647
407	68.92804891
408	68.9240098
409	68.91575103
410	68.9117982
411	68.90513838
412	68.89501771
413	68.89427686
414	68.88473485
415	68.87150577
416	68.8682433
417	68.86002835
418	68.8579107
419	68.84313801
420	68.83766947
421	68.83268296
422	68.82094092
423	68.81738057
424	68.80773351
425	68.79133955
426	68.78451202
427	68.78392608
428	68.77222404
429	68.76831984
430	68.75520222
431	68.74303983
432	68.7328454
433	68.73140932
434	68.716334
435	68.70829153
436	68.70299253
437	68.69470386
