iter	Passed	Remaining
0	3	3220
1	5	2960
2	8	2951
3	11	2985
4	14	2926
5	17	2908
6	20	2883
7	23	2858
8	26	2915
9	29	2941
10	32	2958
11	36	2989
12	38	2957
13	43	3037
14	46	3060
15	49	3030
16	51	3006
17	54	2995
18	59	3046
19	62	3043
20	65	3046
21	67	3022
22	70	3011
23	75	3073
24	78	3056
25	81	3035
26	84	3029
27	87	3026
28	91	3075
29	95	3084
30	98	3066
31	100	3047
32	104	3056
33	108	3073
34	110	3059
35	114	3056
36	116	3041
37	119	3027
38	124	3059
39	127	3060
40	130	3055
41	133	3049
42	136	3034
43	140	3042
44	143	3041
45	146	3029
46	148	3016
47	152	3017
48	157	3052
49	159	3037
50	163	3043
51	166	3030
52	168	3017
53	175	3066
54	181	3120
55	184	3105
56	190	3149
57	196	3191
58	200	3205
59	206	3242
60	209	3230
61	212	3213
62	214	3196
63	218	3189
64	222	3205
65	225	3189
66	228	3182
67	231	3168
68	235	3179
69	239	3176
70	241	3161
71	244	3148
72	246	3134
73	251	3152
74	254	3143
75	257	3134
76	260	3121
77	262	3108
78	265	3097
79	270	3107
80	272	3094
81	276	3092
82	279	3083
83	283	3092
84	292	3146
85	300	3190
86	308	3236
87	322	3347
88	336	3442
89	343	3475
90	355	3554
91	370	3661
92	376	3673
93	392	3787
94	413	3940
95	425	4004
96	444	4138
97	456	4206
98	463	4222
99	481	4329
100	503	4485
101	512	4512
102	531	4627
103	551	4748
104	569	4855
105	577	4870
106	597	4985
107	618	5111
108	630	5149
109	651	5273
110	657	5267
111	662	5253
112	669	5252
113	673	5233
114	685	5276
115	705	5376
116	724	5464
117	730	5459
118	734	5436
119	738	5417
120	742	5392
121	750	5402
122	755	5384
123	766	5411
124	771	5398
125	774	5373
126	784	5393
127	789	5376
128	797	5387
129	802	5369
130	806	5348
131	814	5353
132	819	5340
133	822	5313
134	831	5328
135	837	5318
136	845	5327
137	849	5308
138	852	5280
139	855	5255
140	866	5280
141	870	5257
142	878	5266
143	893	5310
144	900	5307
145	908	5313
146	914	5306
147	917	5283
148	920	5259
149	926	5251
150	931	5239
151	941	5252
152	955	5292
153	966	5309
154	984	5365
155	996	5392
156	1013	5440
157	1029	5483
158	1046	5535
159	1055	5543
160	1076	5610
161	1087	5623
162	1102	5659
163	1123	5725
164	1137	5754
165	1145	5757
166	1155	5761
167	1174	5817
168	1185	5831
169	1194	5831
170	1208	5856
171	1217	5860
172	1239	5922
173	1256	5965
174	1276	6018
175	1292	6051
176	1310	6095
177	1324	6116
178	1339	6143
179	1343	6122
180	1362	6164
181	1381	6209
182	1391	6212
183	1407	6240
184	1427	6287
185	1443	6315
186	1460	6351
187	1477	6383
188	1497	6424
189	1513	6453
190	1522	6449
191	1541	6489
192	1563	6536
193	1579	6563
194	1599	6602
195	1609	6603
196	1624	6623
197	1638	6634
198	1652	6650
199	1669	6676
200	1686	6703
201	1701	6722
202	1718	6748
203	1739	6787
204	1755	6807
205	1768	6814
206	1788	6852
207	1800	6857
208	1811	6856
209	1820	6849
210	1839	6878
211	1853	6890
212	1864	6889
213	1868	6861
214	1885	6884
215	1900	6897
216	1908	6886
217	1926	6912
218	1933	6896
219	1937	6868
220	1956	6896
221	1976	6925
222	1980	6900
223	1997	6919
224	2018	6952
225	2028	6947
226	2039	6945
227	2058	6970
228	2069	6968
229	2084	6979
230	2104	7006
231	2123	7028
232	2142	7054
233	2154	7052
234	2171	7068
235	2186	7079
236	2192	7058
237	2209	7075
238	2225	7087
239	2230	7064
240	2244	7067
241	2264	7092
242	2278	7098
243	2296	7116
244	2313	7129
245	2326	7131
246	2345	7150
247	2354	7138
248	2370	7149
249	2390	7171
250	2404	7174
251	2418	7177
252	2433	7184
253	2441	7171
254	2463	7197
255	2478	7202
256	2496	7218
257	2522	7255
258	2542	7272
259	2558	7280
260	2580	7305
261	2597	7316
262	2611	7317
263	2632	7340
264	2654	7361
265	2677	7387
266	2688	7381
267	2696	7365
268	2716	7380
269	2732	7387
270	2753	7408
271	2767	7408
272	2785	7417
273	2801	7422
274	2807	7400
275	2823	7406
276	2844	7423
277	2857	7420
278	2876	7432
279	2886	7422
280	2904	7432
281	2922	7439
282	2938	7445
283	2953	7446
284	2967	7443
285	2971	7418
286	2974	7390
287	2986	7382
288	3006	7395
289	3014	7380
290	3026	7374
291	3045	7384
292	3055	7372
293	3068	7368
294	3087	7378
295	3096	7365
296	3116	7376
297	3129	7372
298	3133	7345
299	3136	7318
300	3140	7291
301	3149	7279
302	3152	7251
303	3159	7234
304	3165	7212
305	3169	7188
306	3175	7168
307	3179	7143
308	3185	7124
309	3202	7129
310	3224	7142
311	3228	7120
312	3243	7119
313	3261	7124
314	3272	7117
315	3281	7102
316	3285	7078
317	3305	7088
318	3322	7092
319	3330	7076
320	3349	7085
321	3359	7074
322	3367	7059
323	3384	7062
324	3404	7071
325	3422	7076
326	3442	7084
327	3456	7080
328	3475	7087
329	3478	7062
330	3482	7038
331	3499	7042
332	3508	7028
333	3514	7007
334	3521	6990
335	3530	6976
336	3537	6959
337	3542	6938
338	3560	6941
339	3572	6934
340	3576	6911
341	3579	6886
342	3582	6862
343	3588	6843
344	3593	6822
345	3597	6799
346	3603	6780
347	3608	6760
348	3612	6738
349	3619	6721
350	3625	6703
351	3641	6704
352	3659	6707
353	3679	6715
354	3688	6700
355	3692	6679
356	3704	6671
357	3709	6652
358	3728	6657
359	3738	6646
360	3746	6631
361	3751	6612
362	3757	6593
363	3776	6599
364	3796	6604
365	3814	6607
366	3820	6589
367	3834	6584
368	3853	6588
369	3862	6577
370	3872	6565
371	3882	6553
372	3886	6533
373	3890	6511
374	3901	6502
375	3904	6479
376	3909	6460
377	3913	6440
378	3917	6419
379	3925	6404
380	3929	6383
381	3932	6362
382	3937	6342
383	3955	6345
384	3970	6341
385	3977	6327
386	3982	6307
387	3985	6287
388	4000	6283
389	4003	6261
390	4010	6246
391	4016	6230
392	4020	6209
393	4025	6192
394	4031	6174
395	4046	6171
396	4061	6168
397	4076	6165
398	4095	6169
399	4102	6153
400	4120	6154
401	4129	6143
402	4149	6147
403	4157	6133
404	4177	6137
405	4189	6129
406	4197	6116
407	4213	6114
408	4232	6116
409	4238	6099
410	4244	6083
411	4253	6070
412	4259	6054
413	4277	6054
414	4293	6052
415	4302	6039
416	4309	6024
417	4314	6007
418	4322	5993
419	4330	5980
420	4340	5970
421	4348	5955
422	4356	5942
423	4360	5924
424	4372	5915
425	4377	5898
426	4386	5886
427	4391	5869
428	4399	5855
429	4407	5842
430	4411	5824
431	4417	5808
432	4422	5791
433	4427	5773
434	4435	5760
435	4441	5745
436	4451	5734
437	4458	5720
438	4468	5710
439	4473	5693
440	4479	5678
441	4490	5668
442	4496	5653
443	4503	5639
444	4509	5623
445	4521	5616
446	4531	5605
447	4536	5589
448	4541	5573
449	4550	5561
450	4554	5544
451	4570	5541
452	4588	5540
453	4594	5525
454	4601	5511
455	4605	5493
456	4612	5481
457	4620	5467
458	4628	5455
459	4633	5439
460	4638	5422
461	4647	5411
462	4657	5401
463	4663	5387
464	4670	5373
465	4676	5359
466	4680	5342
467	4687	5328
468	4694	5315
469	4702	5302
470	4711	5291
471	4716	5275
472	4719	5258
473	4728	5247
474	4733	5231
475	4738	5216
476	4747	5205
477	4755	5193
478	4774	5193
479	4785	5184
480	4803	5183
481	4810	5169
482	4818	5157
483	4832	5151
484	4837	5136
485	4845	5124
486	4853	5112
487	4860	5099
488	4866	5085
489	4872	5070
490	4882	5061
491	4898	5057
492	4913	5052
493	4916	5036
494	4922	5021
495	4927	5006
496	4930	4989
497	4937	4976
498	4943	4963
499	4949	4949
500	4956	4936
501	4962	4922
502	4966	4907
503	4972	4893
504	4978	4879
505	4981	4863
506	4987	4849
507	4996	4839
508	5000	4823
509	5014	4818
510	5020	4804
511	5025	4790
512	5029	4774
513	5037	4763
514	5041	4748
515	5049	4735
516	5052	4719
517	5055	4704
518	5061	4691
519	5065	4676
520	5071	4662
521	5075	4647
522	5078	4632
523	5085	4619
524	5090	4605
525	5094	4591
526	5103	4580
527	5106	4564
528	5111	4551
529	5122	4542
530	5127	4528
531	5133	4515
532	5138	4502
533	5142	4487
534	5149	4475
535	5153	4460
536	5157	4446
537	5160	4431
538	5167	4419
539	5170	4404
540	5173	4389
541	5176	4374
542	5187	4365
543	5193	4353
544	5208	4348
545	5221	4341
546	5228	4329
547	5240	4322
548	5250	4313
549	5252	4297
550	5256	4283
551	5262	4271
552	5267	4258
553	5270	4243
554	5280	4234
555	5284	4220
556	5288	4206
557	5292	4191
558	5297	4179
559	5300	4164
560	5305	4151
561	5312	4140
562	5316	4126
563	5320	4112
564	5325	4100
565	5331	4087
566	5336	4075
567	5339	4061
568	5346	4050
569	5350	4036
570	5353	4022
571	5357	4008
572	5361	3995
573	5365	3981
574	5368	3967
575	5373	3955
576	5378	3943
577	5381	3928
578	5390	3919
579	5395	3907
580	5398	3893
581	5402	3880
582	5409	3869
583	5412	3855
584	5415	3841
585	5420	3829
586	5428	3819
587	5431	3805
588	5434	3792
589	5444	3783
590	5451	3772
591	5456	3760
592	5459	3746
593	5463	3734
594	5466	3720
595	5477	3712
596	5485	3702
597	5489	3690
598	5493	3677
599	5496	3664
600	5503	3653
601	5509	3642
602	5512	3629
603	5516	3616
604	5522	3605
605	5525	3592
606	5531	3581
607	5536	3569
608	5539	3556
609	5542	3543
610	5544	3530
611	5547	3517
612	5552	3505
613	5556	3493
614	5560	3480
615	5563	3468
616	5568	3456
617	5571	3443
618	5574	3431
619	5580	3420
620	5587	3410
621	5590	3397
622	5594	3385
623	5603	3376
624	5606	3363
625	5609	3351
626	5612	3339
627	5620	3329
628	5624	3317
629	5627	3304
630	5630	3292
631	5639	3283
632	5644	3272
633	5653	3263
634	5657	3251
635	5662	3240
636	5669	3230
637	5674	3219
638	5679	3208
639	5685	3197
640	5688	3185
641	5690	3173
642	5693	3161
643	5699	3150
644	5703	3139
645	5706	3127
646	5709	3114
647	5716	3105
648	5720	3093
649	5724	3082
650	5727	3070
651	5733	3060
652	5736	3048
653	5738	3036
654	5743	3024
655	5748	3014
656	5750	3002
657	5753	2990
658	5757	2978
659	5764	2969
660	5767	2957
661	5769	2945
662	5773	2934
663	5776	2923
664	5784	2913
665	5787	2902
666	5796	2893
667	5804	2884
668	5811	2875
669	5817	2865
670	5820	2853
671	5828	2844
672	5837	2836
673	5848	2828
674	5861	2822
675	5870	2813
676	5876	2803
677	5883	2794
678	5896	2787
679	5910	2781
680	5913	2770
681	5922	2761
682	5934	2754
683	5940	2744
684	5955	2738
685	5962	2729
686	5967	2718
687	5970	2707
688	5978	2698
689	5984	2688
690	5992	2679
691	5997	2669
692	6001	2658
693	6010	2650
694	6014	2639
695	6017	2628
696	6025	2619
697	6029	2608
698	6046	2603
699	6057	2596
700	6060	2585
701	6066	2575
702	6072	2565
703	6080	2556
704	6090	2548
705	6097	2539
706	6101	2528
707	6110	2520
708	6119	2511
709	6136	2506
710	6151	2500
711	6158	2491
712	6164	2481
713	6171	2472
714	6188	2466
715	6207	2462
716	6214	2452
717	6228	2446
718	6243	2440
719	6256	2433
720	6260	2422
721	6263	2411
722	6274	2403
723	6277	2392
724	6282	2382
725	6292	2374
726	6298	2365
727	6306	2356
728	6312	2346
729	6327	2340
730	6332	2330
731	6345	2323
732	6352	2313
733	6360	2305
734	6367	2295
735	6375	2287
736	6385	2278
737	6392	2269
738	6398	2259
739	6403	2250
740	6407	2239
741	6411	2229
742	6420	2220
743	6432	2213
744	6437	2203
745	6440	2192
746	6443	2182
747	6449	2172
748	6455	2163
749	6460	2153
750	6468	2144
751	6472	2134
752	6475	2124
753	6482	2115
754	6488	2105
755	6492	2095
756	6502	2087
757	6508	2078
758	6514	2068
759	6517	2058
760	6522	2048
761	6527	2038
762	6532	2029
763	6536	2019
764	6542	2009
765	6548	2000
766	6552	1990
767	6558	1981
768	6566	1972
769	6568	1962
770	6572	1952
771	6579	1943
772	6582	1933
773	6587	1923
774	6592	1913
775	6596	1904
776	6607	1896
777	6622	1889
778	6631	1881
779	6635	1871
780	6641	1862
781	6646	1852
782	6649	1842
783	6654	1833
784	6660	1824
785	6664	1814
786	6670	1805
787	6678	1796
788	6685	1787
789	6691	1778
790	6694	1768
791	6699	1759
792	6706	1750
793	6711	1741
794	6716	1731
795	6725	1723
796	6735	1715
797	6743	1707
798	6748	1697
799	6753	1688
800	6759	1679
801	6766	1670
802	6777	1662
803	6783	1653
804	6792	1645
805	6796	1635
806	6800	1626
807	6812	1618
808	6818	1609
809	6824	1600
810	6838	1593
811	6857	1587
812	6867	1579
813	6875	1570
814	6893	1564
815	6910	1558
816	6920	1550
817	6936	1543
818	6946	1535
819	6957	1527
820	6970	1519
821	6984	1512
822	6992	1503
823	7010	1497
824	7021	1489
825	7027	1480
826	7032	1471
827	7041	1462
828	7045	1453
829	7048	1443
830	7054	1434
831	7063	1426
832	7070	1417
833	7075	1408
834	7078	1398
835	7087	1390
836	7091	1381
837	7095	1371
838	7106	1363
839	7110	1354
840	7114	1345
841	7119	1335
842	7124	1326
843	7126	1317
844	7132	1308
845	7137	1299
846	7140	1289
847	7149	1281
848	7166	1274
849	7176	1266
850	7189	1258
851	7198	1250
852	7205	1241
853	7210	1232
854	7220	1224
855	7223	1215
856	7231	1206
857	7245	1199
858	7252	1190
859	7257	1181
860	7265	1172
861	7270	1163
862	7276	1155
863	7283	1146
864	7287	1137
865	7293	1128
866	7301	1120
867	7307	1111
868	7314	1102
869	7318	1093
870	7322	1084
871	7328	1075
872	7333	1066
873	7338	1057
874	7343	1049
875	7350	1040
876	7354	1031
877	7368	1023
878	7372	1014
879	7378	1006
880	7382	997
881	7386	988
882	7389	979
883	7399	970
884	7404	962
885	7413	953
886	7419	945
887	7423	936
888	7429	927
889	7433	918
890	7440	910
891	7444	901
892	7447	892
893	7452	883
894	7459	875
895	7465	866
896	7469	857
897	7476	849
898	7481	840
899	7485	831
900	7494	823
901	7500	814
902	7505	806
903	7509	797
904	7514	788
905	7520	780
906	7528	771
907	7532	763
908	7539	754
909	7545	746
910	7553	737
911	7557	729
912	7561	720
913	7567	712
914	7575	703
915	7580	695
916	7587	686
917	7591	678
918	7595	669
919	7599	660
920	7608	652
921	7612	643
922	7619	635
923	7625	627
924	7629	618
925	7633	610
926	7640	601
927	7645	593
928	7649	584
929	7660	576
930	7666	568
931	7674	559
932	7680	551
933	7690	543
934	7695	534
935	7699	526
936	7708	518
937	7721	510
938	7728	502
939	7735	493
940	7738	485
941	7742	476
942	7745	468
943	7756	460
944	7760	451
945	7765	443
946	7770	434
947	7776	426
948	7782	418
949	7786	409
950	7789	401
951	7793	392
952	7798	384
953	7802	376
954	7806	367
955	7810	359
956	7816	351
957	7822	342
958	7827	334
959	7834	326
960	7838	318
961	7841	309
962	7848	301
963	7851	293
964	7854	284
965	7862	276
966	7866	268
967	7874	260
968	7880	252
969	7884	243
970	7888	235
971	7894	227
972	7902	219
973	7905	211
974	7908	202
975	7915	194
976	7921	186
977	7927	178
978	7932	170
979	7935	161
980	7939	153
981	7944	145
982	7947	137
983	7951	129
984	7954	121
985	7958	113
986	7963	104
987	7968	96
988	7972	88
989	7978	80
990	7981	72
991	7986	64
992	7991	56
993	7997	48
994	8001	40
995	8011	32
996	8014	24
997	8016	16
998	8019	8
999	8025	0
